rank,bgg_url,game_id,names,min_players,max_players,avg_time,min_time,max_time,year,avg_rating,geek_rating,num_votes,image_url,age,mechanic,owned,category,designer,weight
11,https://boardgamegeek.com/boardgame/84876/castles-burgundy,84876,The Castles of Burgundy,2,4,90,30,90,2011,8.11505,7.9986,29230,https://cf.geekdo-images.com/images/pic1176894.jpg,12,"Dice Rolling, Set Collection, Tile Placement, Variable Phase Order",40858,"Dice, Medieval, Territory Building",Stefan Feld,3.0278
12,https://boardgamegeek.com/boardgame/115746/war-ring-second-edition,115746,War of the Ring (Second Edition),2,4,180,150,180,2012,8.39508,7.97852,7484,https://cf.geekdo-images.com/images/pic1215633.jpg,13,"Area Control / Area Influence, Area Movement, Campaign / Battle Card Driven, Dice Rolling, Hand Management",12187,"Adventure, Dice, Fantasy, Fighting, Miniatures, Novel-based, Territory Building, Wargame","Roberto Di Meglio, Marco Maggi, Francesco Nepitello",4.0135
13,https://boardgamegeek.com/boardgame/102794/caverna-cave-farmers,102794,Caverna: The Cave Farmers,1,7,210,30,210,2013,8.1408,7.97114,19751,https://cf.geekdo-images.com/images/pic1790789.jpg,12,"Tile Placement, Worker Placement",25431,"Animals, Economic, Fantasy, Farming",Uwe Rosenberg,3.7865
14,https://boardgamegeek.com/boardgame/3076/puerto-rico,3076,Puerto Rico,2,5,150,90,150,2002,8.0715,7.96094,51205,https://cf.geekdo-images.com/images/pic158548.jpg,12,Variable Phase Order,59005,"City Building, Economic, Farming",Andreas Seyfarth,3.2942
15,https://boardgamegeek.com/boardgame/31260/agricola,31260,Agricola,1,5,150,30,150,2007,8.03366,7.9355,51781,https://cf.geekdo-images.com/images/pic259085.jpg,12,"Area Enclosure, Card Drafting, Hand Management, Variable Player Powers, Worker Placement",62606,"Animals, Economic, Farming",Uwe Rosenberg,3.6323
16,https://boardgamegeek.com/boardgame/96848/mage-knight-board-game,96848,Mage Knight Board Game,1,4,150,150,150,2011,8.12893,7.92632,20496,https://cf.geekdo-images.com/images/pic1083380.jpg,14,"Card Drafting, Co-operative Play, Deck / Pool Building, Dice Rolling, Grid Movement, Hand Management, Modular Board, Role Playing, Tile Placement, Variable Player Powers",30703,"Adventure, Exploration, Fantasy, Fighting",Vlaada Chvátil,4.2297
17,https://boardgamegeek.com/boardgame/170216/blood-rage,170216,Blood Rage,2,4,90,60,90,2015,8.10843,7.90469,18649,https://cf.geekdo-images.com/images/pic2439223.jpg,14,"Action Point Allowance System, Area Control / Area Influence, Area Movement, Card Drafting, Hand Management, Memory, Simultaneous Action Selection",23647,"Fantasy, Fighting, Miniatures, Mythology",Eric M. Lang,2.8935
18,https://boardgamegeek.com/boardgame/205637/arkham-horror-card-game,205637,Arkham Horror: The Card Game,1,2,120,60,120,2016,8.29144,7.89934,9754,https://cf.geekdo-images.com/images/pic3122349.jpg,14,"Action Point Allowance System, Co-operative Play, Deck / Pool Building, Hand Management, Role Playing, Variable Player Powers",18921,"Adventure, Card Game, Collectible Components, Fantasy, Horror, Novel-based","Nate French, Matthew Newman",3.1749
19,https://boardgamegeek.com/boardgame/205059/mansions-madness-second-edition,205059,Mansions of Madness: Second Edition,1,5,180,120,180,2016,8.23409,7.89133,10510,https://cf.geekdo-images.com/images/pic3118622.jpg,14,"Area Movement, Co-operative Play, Dice Rolling, Hand Management, Modular Board, Partnerships, Role Playing, Variable Player Powers",17062,"Adventure, Exploration, Fantasy, Fighting, Horror, Miniatures, Murder/Mystery, Puzzle",Nikki Valens,2.6344
20,https://boardgamegeek.com/boardgame/25613/through-ages-story-civilization,25613,Through the Ages: A Story of Civilization,2,4,240,240,240,2006,8.05319,7.88082,16005,https://cf.geekdo-images.com/images/pic236169.jpg,12,"Action Point Allowance System, Auction/Bidding, Card Drafting, Hand Management",16245,"Civilization, Economic",Vlaada Chvátil,4.1709
21,https://boardgamegeek.com/boardgame/209010/mechs-vs-minions,209010,Mechs vs. Minions,2,4,90,60,90,2016,8.2592,7.8782,8087,https://cf.geekdo-images.com/images/pic3184103.jpg,14,"Action / Movement Programming, Card Drafting, Co-operative Play, Dice Rolling, Modular Board, Variable Player Powers",13139,"Fantasy, Fighting, Miniatures, Video Game Theme","Chris Cantrell, Rick Ernst, Stone Librande, Prashant Saraswat, Nathan Tiras",2.4511
22,https://boardgamegeek.com/boardgame/183394/viticulture-essential-edition,183394,Viticulture Essential Edition,1,6,90,45,90,2015,8.17,7.87286,9513,https://cf.geekdo-images.com/images/pic2649952.jpg,13,"Hand Management, Variable Phase Order, Worker Placement",13670,"Economic, Farming","Morten Monrad Pedersen, Jamey Stegmaier, Alan Stone",2.9563
23,https://boardgamegeek.com/boardgame/164153/star-wars-imperial-assault,164153,Star Wars: Imperial Assault,2,5,120,60,120,2014,8.16192,7.87141,13445,https://cf.geekdo-images.com/images/pic2247647.jpg,14,"Dice Rolling, Grid Movement, Modular Board, Partnerships, Role Playing, Variable Player Powers",23681,"Adventure, Fighting, Miniatures, Movies / TV / Radio theme, Science Fiction, Wargame","Justin Kemppainen, Corey Konieczka, Jonathan Ying",3.2768
24,https://boardgamegeek.com/boardgame/124361/concordia,124361,Concordia,2,5,100,100,100,2013,8.05621,7.85535,13370,https://cf.geekdo-images.com/images/pic3453267.jpg,13,"Card Drafting, Deck / Pool Building, Hand Management, Point to Point Movement",15361,"Ancient, Economic, Nautical",Mac Gerdts,3.1229
25,https://boardgamegeek.com/boardgame/164928/orleans,164928,Orléans,2,4,90,90,90,2014,8.08325,7.84462,11413,https://cf.geekdo-images.com/images/pic2578828.png,12,"Deck / Pool Building, Point to Point Movement, Worker Placement",13458,"Medieval, Religious, Travel",Reiner Stockhausen,3.1071
26,https://boardgamegeek.com/boardgame/2651/power-grid,2651,Power Grid,2,6,120,120,120,2004,7.92341,7.83976,45208,https://cf.geekdo-images.com/images/pic173153.jpg,12,"Auction/Bidding, Route/Network Building",52087,"Economic, Industry / Manufacturing",Friedemann Friese,3.284
27,https://boardgamegeek.com/boardgame/72125/eclipse,72125,Eclipse,2,6,200,60,200,2011,7.9873,7.82639,21978,https://cf.geekdo-images.com/images/pic1974056.jpg,14,"Area Control / Area Influence, Dice Rolling, Grid Movement, Modular Board, Player Elimination, Tile Placement, Variable Phase Order, Variable Player Powers",23936,"Civilization, Fighting, Science Fiction, Space Exploration, Wargame",Touko Tahkokallio,3.6827
28,https://boardgamegeek.com/boardgame/175914/food-chain-magnate,175914,Food Chain Magnate,2,5,240,120,240,2015,8.22259,7.81454,6483,https://cf.geekdo-images.com/images/pic2649434.png,14,"Card Drafting, Deck / Pool Building, Modular Board, Route/Network Building, Simultaneous Action Selection",7605,"Economic, Industry / Manufacturing","Jeroen Doumen, Joris Wiersinga",4.2026
29,https://boardgamegeek.com/boardgame/177736/feast-odin,177736,A Feast for Odin,1,4,120,30,120,2016,8.2147,7.80113,6824,https://cf.geekdo-images.com/images/pic3146943.png,12,"Area Enclosure, Dice Rolling, Pattern Building, Press Your Luck, Tile Placement, Worker Placement",9318,"Economic, Industry / Manufacturing, Medieval, Puzzle",Uwe Rosenberg,3.8745
30,https://boardgamegeek.com/boardgame/121921/robinson-crusoe-adventures-cursed-island,121921,Robinson Crusoe: Adventures on the Cursed Island,1,4,120,60,120,2012,7.97108,7.79835,21599,https://cf.geekdo-images.com/images/pic3165731.jpg,14,"Action / Movement Programming, Co-operative Play, Deck / Pool Building, Dice Rolling, Storytelling, Tile Placement, Variable Player Powers, Worker Placement",32911,"Adventure, Exploration, Fighting, Novel-based",Ignacy Trzewiczek,3.7199
31,https://boardgamegeek.com/boardgame/28720/brass-lancashire,28720,Brass: Lancashire,2,4,180,120,180,2007,8.0079,7.79498,11207,https://cf.geekdo-images.com/images/pic3469216.jpg,14,"Hand Management, Route/Network Building",11888,"Economic, Industry / Manufacturing, Transportation",Martin Wallace,3.8744
32,https://boardgamegeek.com/boardgame/126163/tzolk-mayan-calendar,126163,Tzolk'in: The Mayan Calendar,2,4,90,90,90,2012,7.93453,7.78638,20244,https://cf.geekdo-images.com/images/pic1413480.jpg,13,"Set Collection, Worker Placement",23138,"Ancient, Civilization, Economic, Farming, Mythology","Simone Luciani, Daniele Tascini",3.6354
33,https://boardgamegeek.com/boardgame/35677/le-havre,35677,Le Havre,1,5,150,30,150,2008,7.91515,7.78617,20531,https://cf.geekdo-images.com/images/pic3330230.jpg,12,Worker Placement,22295,"City Building, Economic, Industry / Manufacturing, Nautical",Uwe Rosenberg,3.7588
34,https://boardgamegeek.com/boardgame/124742/android-netrunner,124742,Android: Netrunner,2,2,45,45,45,2012,7.94351,7.76565,21975,https://cf.geekdo-images.com/images/pic3738560.jpg,14,"Action Point Allowance System, Hand Management, Secret Unit Deployment, Variable Player Powers",34501,"Bluffing, Card Game, Collectible Components, Science Fiction","Richard Garfield, Lukas Litzsinger",3.3541
35,https://boardgamegeek.com/boardgame/55690/kingdom-death-monster,55690,Kingdom Death: Monster,1,6,180,60,180,2015,8.98082,7.75668,4022,https://cf.geekdo-images.com/images/pic2931007.jpg,17,"Co-operative Play, Dice Rolling, Grid Movement, Role Playing, Storytelling",6020,"Adventure, Fantasy, Horror, Mature / Adult, Miniatures, Mythology",Adam Poots,4.2158
36,https://boardgamegeek.com/boardgame/171623/voyages-marco-polo,171623,The Voyages of Marco Polo,2,4,100,40,100,2015,7.97219,7.74016,11557,https://cf.geekdo-images.com/images/pic2461346.png,12,"Card Drafting, Dice Rolling, Point to Point Movement, Set Collection, Variable Player Powers, Worker Placement",13553,"Dice, Economic, Medieval, Travel","Simone Luciani, Daniele Tascini",3.1864
37,https://boardgamegeek.com/boardgame/180263/7th-continent,180263,The 7th Continent,1,4,1000,5,1000,2017,8.7403,7.73021,3362,https://cf.geekdo-images.com/images/pic2648303.jpg,14,"Co-operative Play, Hand Management, Modular Board, Storytelling",6604,"Adventure, Card Game, Exploration, Horror, Science Fiction","Ludovic Roudy, Bruno Sautter",2.8615
38,https://boardgamegeek.com/boardgame/178900/codenames,178900,Codenames,2,8,15,15,15,2015,7.82596,7.7283,38422,https://cf.geekdo-images.com/images/pic2582929.jpg,14,"Memory, Partnerships, Pattern Recognition, Press Your Luck",60771,"Card Game, Deduction, Party Game, Spies/Secret Agents, Word Game",Vlaada Chvátil,1.3471
39,https://boardgamegeek.com/boardgame/122515/keyflower,122515,Keyflower,2,6,120,90,120,2012,7.90815,7.72627,13441,https://cf.geekdo-images.com/images/pic2278942.jpg,12,"Auction/Bidding, Memory, Modular Board, Pick-up and Deliver, Route/Network Building, Set Collection, Tile Placement, Worker Placement",16461,"City Building, Economic, Nautical, Renaissance, Territory Building","Sebastian Bleasdale, Richard Breese",3.3407
40,https://boardgamegeek.com/boardgame/68448/7-wonders,68448,7 Wonders,2,7,30,30,30,2010,7.81302,7.72443,58363,https://cf.geekdo-images.com/images/pic860217.jpg,10,"Card Drafting, Hand Management, Set Collection, Simultaneous Action Selection, Variable Player Powers",76022,"Ancient, Card Game, City Building, Civilization",Antoine Bauza,2.3425
41,https://boardgamegeek.com/boardgame/146508/time-stories,146508,T.I.M.E Stories,2,4,240,90,240,2015,7.93947,7.72144,14236,https://cf.geekdo-images.com/images/pic2617634.png,12,"Co-operative Play, Dice Rolling, Role Playing, Storytelling, Time Track, Variable Player Powers",22239,"Adventure, Mature / Adult, Science Fiction","Peggy Chassenet, Manuel Rozoy",2.6657
42,https://boardgamegeek.com/boardgame/18602/caylus,18602,Caylus,2,5,150,60,150,2005,7.83973,7.69617,22981,https://cf.geekdo-images.com/images/pic1638795.jpg,12,Worker Placement,23284,"City Building, Economic, Medieval",William Attia,3.818
43,https://boardgamegeek.com/boardgame/146021/eldritch-horror,146021,Eldritch Horror,1,8,240,120,240,2013,7.91987,7.69059,19177,https://cf.geekdo-images.com/images/pic1872452.jpg,14,"Co-operative Play, Dice Rolling, Point to Point Movement, Variable Player Powers",28786,"Adventure, Fantasy, Fighting, Horror, Novel-based","Corey Konieczka, Nikki Valens",3.3105
44,https://boardgamegeek.com/boardgame/12493/twilight-imperium-third-edition,12493,Twilight Imperium (Third Edition),3,6,240,180,240,2005,7.91225,7.69023,16171,https://cf.geekdo-images.com/images/pic50404.jpg,14,"Action Point Allowance System, Area-Impulse, Dice Rolling, Hex-and-Counter, Modular Board, Tile Placement, Trading, Variable Phase Order, Variable Player Powers, Voting",18479,"Civilization, Negotiation, Political, Science Fiction, Space Exploration, Wargame",Christian T. Petersen,4.2378
45,https://boardgamegeek.com/boardgame/28143/race-galaxy,28143,Race for the Galaxy,2,4,60,30,60,2007,7.76621,7.6761,36804,https://cf.geekdo-images.com/images/pic236327.jpg,12,"Hand Management, Simultaneous Action Selection, Variable Phase Order, Variable Player Powers",44213,"Card Game, Civilization, Economic, Science Fiction, Space Exploration",Thomas Lehmann,2.9725
46,https://boardgamegeek.com/boardgame/110327/lords-waterdeep,110327,Lords of Waterdeep,2,5,120,60,120,2012,7.7901,7.67272,32876,https://cf.geekdo-images.com/images/pic1116080.jpg,12,"Set Collection, Take That, Worker Placement",40353,"City Building, Fantasy","Peter Lee, Rodney Thompson",2.497
47,https://boardgamegeek.com/boardgame/62219/dominant-species,62219,Dominant Species,2,6,240,120,240,2010,7.84941,7.66724,13863,https://cf.geekdo-images.com/images/pic784193.jpg,14,"Area Control / Area Influence, Card Drafting, Grid Movement, Modular Board, Tile Placement, Variable Player Powers, Worker Placement",14406,"Animals, Environmental, Prehistoric",Chad Jensen,4.0345
48,https://boardgamegeek.com/boardgame/157354/five-tribes,157354,Five Tribes,2,4,80,40,80,2014,7.80606,7.66228,20791,https://cf.geekdo-images.com/images/pic2055255.jpg,13,"Area Control / Area Influence, Auction/Bidding, Modular Board, Set Collection, Variable Phase Order",27209,"Arabian, Fantasy, Mythology",Bruno Cathala,2.8966
49,https://boardgamegeek.com/boardgame/93/el-grande,93,El Grande,2,5,120,60,120,1995,7.79257,7.65678,19489,https://cf.geekdo-images.com/images/pic180538.jpg,12,"Area Control / Area Influence, Area Movement, Auction/Bidding, Card Drafting, Hand Management, Memory, Simultaneous Action Selection",18802,Renaissance,"Wolfgang Kramer, Richard Ulrich",3.08
50,https://boardgamegeek.com/boardgame/163412/patchwork,163412,Patchwork,2,2,30,15,30,2014,7.77702,7.6546,24637,https://cf.geekdo-images.com/images/pic2270442.jpg,8,"Tile Placement, Time Track",36532,"Abstract Strategy, Puzzle",Uwe Rosenberg,1.7135
51,https://boardgamegeek.com/boardgame/132531/roll-galaxy,132531,Roll for the Galaxy,2,5,45,45,45,2014,7.80183,7.64919,17399,https://cf.geekdo-images.com/images/pic1473629.jpg,13,"Deck / Pool Building, Dice Rolling, Simultaneous Action Selection, Variable Phase Order, Variable Player Powers",22413,"Civilization, Dice, Economic, Science Fiction, Space Exploration","Wei-Hwa Huang, Thomas Lehmann",2.7585
52,https://boardgamegeek.com/boardgame/159675/fields-arle,159675,Fields of Arle,1,2,120,60,120,2014,8.18531,7.64839,4382,https://cf.geekdo-images.com/images/pic2225968.png,13,Worker Placement,7165,"Economic, Farming, Industry / Manufacturing",Uwe Rosenberg,3.9087
53,https://boardgamegeek.com/boardgame/40834/dominion-intrigue,40834,Dominion: Intrigue,2,4,30,30,30,2009,7.77386,7.64613,24730,https://cf.geekdo-images.com/images/pic460011.jpg,13,"Card Drafting, Deck / Pool Building, Hand Management",35269,"Card Game, Medieval",Donald X. Vaccarino,2.441
54,https://boardgamegeek.com/boardgame/201808/clank-deck-building-adventure,201808,Clank!: A Deck-Building Adventure,1,4,60,30,60,2016,7.94548,7.63635,9294,https://cf.geekdo-images.com/images/pic3056966.jpg,12,"Card Drafting, Deck / Pool Building, Player Elimination, Point to Point Movement, Press Your Luck",13068,"Adventure, Fantasy",Paul Dennen,2.2338
55,https://boardgamegeek.com/boardgame/150376/dead-winter-crossroads-game,150376,Dead of Winter: A Crossroads Game,2,5,210,45,210,2014,7.77802,7.63439,27015,https://cf.geekdo-images.com/images/pic3016500.jpg,14,"Action Point Allowance System, Area Movement, Co-operative Play, Dice Rolling, Hand Management, Press Your Luck, Storytelling, Trading, Variable Player Powers, Voting",37363,"Bluffing, Deduction, Horror, Zombies","Jonathan Gilmour, Isaac Vega",3.0026
56,https://boardgamegeek.com/boardgame/103885/star-wars-x-wing-miniatures-game,103885,Star Wars: X-Wing Miniatures Game,2,2,45,30,45,2012,7.84235,7.63079,18594,https://cf.geekdo-images.com/images/pic1603292.jpg,14,"Action / Movement Programming, Dice Rolling, Player Elimination, Simultaneous Action Selection, Variable Player Powers",31598,"Aviation / Flight, Bluffing, Collectible Components, Miniatures, Movies / TV / Radio theme, Science Fiction, Wargame",Jason Little,2.4723
57,https://boardgamegeek.com/boardgame/37111/battlestar-galactica-board-game,37111,Battlestar Galactica: The Board Game,3,6,300,120,300,2008,7.75995,7.61932,27170,https://cf.geekdo-images.com/images/pic354500.jpg,10,"Area Movement, Co-operative Play, Dice Rolling, Hand Management, Partnerships, Role Playing, Variable Player Powers",30247,"Bluffing, Deduction, Movies / TV / Radio theme, Political, Science Fiction, Space Exploration, Spies/Secret Agents",Corey Konieczka,3.2296
58,https://boardgamegeek.com/boardgame/221107/pandemic-legacy-season-2,221107,Pandemic Legacy: Season 2,2,4,60,60,60,2017,8.70088,7.59842,2285,https://cf.geekdo-images.com/images/pic3763549.jpg,14,"Co-operative Play, Hand Management, Pick-up and Deliver, Point to Point Movement, Set Collection, Variable Player Powers",6981,"Environmental, Exploration, Medical","Rob Daviau, Matt Leacock",3.1429
59,https://boardgamegeek.com/boardgame/2511/sherlock-holmes-consulting-detective-thames-murder,2511,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,1,8,120,60,120,1981,7.8319,7.59583,10699,https://cf.geekdo-images.com/images/pic3514298.jpg,10,"Co-operative Play, Storytelling",21417,"Deduction, Murder/Mystery, Novel-based, Post-Napoleonic, Spies/Secret Agents","Raymond Edwards, Suzanne Goldberg, Gary Grady",2.7692
60,https://boardgamegeek.com/boardgame/172386/mombasa,172386,Mombasa,2,4,150,75,150,2015,7.95735,7.59141,6443,https://cf.geekdo-images.com/images/pic2611318.jpg,12,"Action / Movement Programming, Area Control / Area Influence, Card Drafting, Deck / Pool Building, Hand Management, Simultaneous Action Selection, Stock Holding, Variable Player Powers, Worker Placement",8333,Economic,Alexander Pfister,3.8727
61,https://boardgamegeek.com/boardgame/144733/russian-railroads,144733,Russian Railroads,2,4,120,90,120,2013,7.80812,7.58293,10226,https://cf.geekdo-images.com/images/pic1772936.jpg,12,Worker Placement,11015,"Industry / Manufacturing, Trains","Helmut Ohley, Leonhard ""Lonny"" Orgler",3.4123
62,https://boardgamegeek.com/boardgame/102680/trajan,102680,Trajan,2,4,120,60,120,2011,7.80504,7.5815,10839,https://cf.geekdo-images.com/images/pic1054375.jpg,12,"Area Movement, Card Drafting, Hand Management, Set Collection",12830,"Ancient, Political",Stefan Feld,3.6763
63,https://boardgamegeek.com/boardgame/73439/troyes,73439,Troyes,2,4,90,90,90,2010,7.76474,7.58133,12664,https://cf.geekdo-images.com/images/pic750583.jpg,12,"Area Control / Area Influence, Dice Rolling, Worker Placement",13661,"Dice, Economic, Medieval","Sébastien Dujardin, Xavier Georges, Alain Orban",3.463
64,https://boardgamegeek.com/boardgame/36218/dominion,36218,Dominion,2,4,30,30,30,2008,7.67674,7.58104,60842,https://cf.geekdo-images.com/images/pic394356.jpg,13,"Card Drafting, Deck / Pool Building, Hand Management",78903,"Card Game, Medieval",Donald X. Vaccarino,2.3714
65,https://boardgamegeek.com/boardgame/42/tigris-euphrates,42,Tigris & Euphrates,2,4,90,90,90,1997,7.71475,7.57883,21328,https://cf.geekdo-images.com/images/pic2338267.jpg,12,"Area Control / Area Influence, Hand Management, Set Collection, Tile Placement",23596,"Abstract Strategy, Ancient, Civilization, Territory Building",Reiner Knizia,3.5283
66,https://boardgamegeek.com/boardgame/30549/pandemic,30549,Pandemic,2,4,45,45,45,2008,7.6615,7.56992,70501,https://cf.geekdo-images.com/images/pic1534148.jpg,8,"Action Point Allowance System, Co-operative Play, Hand Management, Point to Point Movement, Set Collection, Trading, Variable Player Powers",102218,Medical,Matt Leacock,2.4277
67,https://boardgamegeek.com/boardgame/220308/gaia-project,220308,Gaia Project,1,4,150,60,150,2017,8.80254,7.56951,2042,https://cf.geekdo-images.com/images/pic3763556.jpg,12,"Modular Board, Route/Network Building, Variable Phase Order, Variable Player Powers",3178,"Civilization, Economic, Science Fiction, Territory Building","Jens Drögemüller, Helge Ostertag",4.2857
68,https://boardgamegeek.com/boardgame/194655/santorini,194655,Santorini,2,4,20,20,20,2016,7.86862,7.56751,8718,https://cf.geekdo-images.com/images/pic3283110.png,8,"Grid Movement, Tile Placement, Variable Player Powers",14264,"Abstract Strategy, Ancient, Mythology",Gord!,1.7654
69,https://boardgamegeek.com/boardgame/125153/gallerist,125153,The Gallerist,1,4,150,60,150,2015,8.031,7.56335,4898,https://cf.geekdo-images.com/images/pic2503200.png,13,"Commodity Speculation, Set Collection, Worker Placement",7333,Economic,Vital Lacerda,4.2679
70,https://boardgamegeek.com/boardgame/521/crokinole,521,Crokinole,2,4,30,30,30,1876,7.79399,7.55086,8399,https://cf.geekdo-images.com/images/pic79413.jpg,8,Partnerships,6170,Action / Dexterity,(Uncredited),1.2827
71,https://boardgamegeek.com/boardgame/104162/descent-journeys-dark-second-edition,104162,Descent: Journeys in the Dark (Second Edition),2,5,120,120,120,2012,7.77145,7.54258,16512,https://cf.geekdo-images.com/images/pic1180640.jpg,14,"Action Point Allowance System, Dice Rolling, Grid Movement, Hand Management, Modular Board, Partnerships, Variable Player Powers",26375,"Adventure, Exploration, Fantasy, Fighting, Miniatures","Daniel Clark (I), Corey Konieczka, Adam Sadler, Kevin Wilson",3.2077
72,https://boardgamegeek.com/boardgame/127023/kemet,127023,Kemet,2,5,120,90,120,2012,7.76789,7.53311,10713,https://cf.geekdo-images.com/images/pic1431241.jpg,13,"Action Point Allowance System, Area Control / Area Influence, Area Movement, Card Drafting, Hand Management, Variable Phase Order",12603,"Ancient, Fighting, Miniatures, Mythology","Jacques Bariot, Guillaume Montiage",2.988
73,https://boardgamegeek.com/boardgame/155426/castles-mad-king-ludwig,155426,Castles of Mad King Ludwig,1,4,90,90,90,2014,7.68744,7.53002,15699,https://cf.geekdo-images.com/images/pic1961827.jpg,13,"Card Drafting, Pattern Building, Set Collection, Tile Placement",20792,Post-Napoleonic,Ted Alspach,2.6731
74,https://boardgamegeek.com/boardgame/9609/war-ring-first-edition,9609,War of the Ring (first edition),2,4,120,120,120,2004,7.79964,7.52505,9133,https://cf.geekdo-images.com/images/pic725882.jpg,12,"Action Point Allowance System, Area Control / Area Influence, Area Movement, Campaign / Battle Card Driven, Dice Rolling, Hand Management",11712,"Adventure, Dice, Fantasy, Miniatures, Novel-based, Territory Building, Wargame","Roberto Di Meglio, Marco Maggi, Francesco Nepitello",3.8403
75,https://boardgamegeek.com/boardgame/34635/stone-age,34635,Stone Age,2,4,90,60,90,2008,7.62311,7.52487,33431,https://cf.geekdo-images.com/images/pic1632539.jpg,10,"Dice Rolling, Set Collection, Worker Placement",35411,"Dice, Prehistoric",Bernd Brunnhofer,2.5023
76,https://boardgamegeek.com/boardgame/161970/alchemists,161970,Alchemists,2,4,120,120,120,2014,7.73627,7.51564,11792,https://cf.geekdo-images.com/images/pic2241156.png,13,"Action Point Allowance System, Card Drafting, Hand Management, Worker Placement",15694,"Deduction, Fantasy",Matú? Kotry,3.8132
77,https://boardgamegeek.com/boardgame/216132/clans-caledonia,216132,Clans of Caledonia,1,4,120,30,120,2017,8.21241,7.51293,3337,https://cf.geekdo-images.com/images/pic3511783.png,12,"Commodity Speculation, Modular Board, Route/Network Building, Variable Player Powers",5277,Economic,Juma Al-JouJou,3.3827
